Swahili,English
sawa,okay
kijana,boy
mchezo,Game
kituo,station
pamoja,together
huu,This
habari,information
jana,yesterday
ambao,whom
mkuu,leader
kati_ya,medium_ya
muda,Time
hapa,Here
jua,sun.
taarifa,information.
kuhusu,About
suala,Issue.
chukua,Take it
sana,very much
toa,toa.
moja,one.
omba,Apply
tukio,event
fika,arrive
haki,right
sema,Say
kutoka,from
mwezi,month
Ujerumani,Germany
Jamii,community
ingine,Other
wilaya,district
uchaguzi,election
hasa,especially
ongeza,Add
zuri,beautiful
onyesha,Show
ambazo,that.
muchimu,Muchimu.
jenga,jenga.
taka,waste.
acha,Leave.
mkazi,resident
peleka,Peleka.
rais,President.
kamanda,Commander.
shughuli,Activity.
tangaza,Classified.
mazingira,Environment.
amini,Believe
pita,Pita.
biashara,business.
amua,Decide.
hakuna,No.
wizara,Ministries.
shule,School.
asimilia,percentage.
bali,Bali.
tayari,ready
hivyo,so
kampuni,company.
matumizi,use
mali,Property.
kitendo,the action
silaha,Armor.
afya,Health
pinga,resist
zuia,Prevent
fuata,Follow
kamata,Kamata.
ondoka,get away
kubali,agree.
mradi,project.
zungumzo,conversation.
uamuzi,decision
refu,long
kuta,walls
pale,There.
dai,claim
funga,Close
mchezaji,player.
kiwango,rate
pokea,pokea.
rudi,return
funzo,a study.
taasisi,institutional
kadhaa,several.
juzi,Yuzi.
soma,read
jimbo,State
juhudi,effort.
ruhusu,Allow
kaa,crabs.
panga,pander.
ile,Ile.
tatu,Three.
chagua,Choose
fungua,open
ina,It has
zingatia,NOTE.
saa,time
kifo,death.
ua,kill
imani,Faith
mfumo,structure
tokeo,result
sisitiza,Emphasize
bunge,Parliament
zungumza,Talk
kosa,mistake.
kuna,there
jaribu,try
umri,age.
vizuri,well
damu,blood
barua,letter
nini,what.
mke,wife.
hivi sasa,Right now
kuliko,than
mfano,Example.
dini,Religion.
ujenzi,Construction
kiwanda,factory.
chache,Few.
kama vile,Like
ondoka,get away
ondoa,Remove.
cheza,Cheza.
kataa,Reject.
mahali,place
ukweli,the truth
sita,six.
ingawa,though
mgogoro,Crisis
mwaka jana,last year
kura,lots.
changa,CHANGE
si,Si.
ardhi,land
tabia,character
namna,way
sikiliza,Listen.
hoji,question
kisha,Then
kwanza,first
ulinzi,Protection.
soko,market.
mapema,early
jadili,Discuss
safari,Journey
shinda,win.
mzee,Elder.
mfanyabiashara,businessman.
kweli,Really.
tangu,Since
fahamu,know
shitaka,accusation
uawa,kill
ndugu,brother.
badiliko,Update
maana,Meaning.
nunua,Buy.
ajali,accident
sisi,We.
jicho,eye.
moto,fire.
kwa,by
hiyo,it.
hifadhi,Save
mkubwa,great
tia,tia
rejea,reference.
amri,Command
yoyote,any
vunja,Break
benki,banks.
mgeni,guest.
mbali,away
dereva,driver.
maliza,Finish.
mwanzo,Beginning.
bei,Price.
pambana na,fight with 
ulimwengu,the world
kabla,before
tendo,the act.
kwa,by
ndani,inside.
shika,Shi.
uzazi,birth
nani,Who.
pigano,Fight
jumuia,community
somo,teaching subject
fuata,Follow
sauti,voice
mwanamume,man.
pendekeza ,suggest
shamba,farm
gundua,discover
nguo,clothes.
chungua,investigate
mshahara,salary.
lazimu,Lazimu.
wao,they
kampuni,company.
chumba,room
tumaini,hope
tano,Five.
kosa,mistake.
naibu,Deputy
vama,Invade
mkopo,loan.
wasili,arrive
namba,number.
rudi,Rudi.
mfuasi,follower
ndio,Yes
abiria,passenger.
hatimaye,Finally.
mama,mother.
hali,status.
kweli,Indeed
jambazi,armed robber
msemaji,spokesman.
kwa sababu ya,Because of.
sura,Chapter.
safi,clean
futa,wipe off
uhai,Life.
pima,measure
malipo,Payment
faida,advantage
akili,intelligence
laza,Laza.
kumi,ten.
daktari,doctor.
hotuba,speech.
shukuru,thanks
binadamu,human
kusanya,Collect.
teknolojia,Technology.
karibu,close
heshimu,Respect
bomu,Bomb
karibu na,next to
Novemba,November.
Juni,June.
tunda,fruit.
wasiwasi,concerned.
wimbo,Song.
haribu,ruin
rafiki,friend.
linga,compare
kusudia,intend
upendo,love
fanya kazi,do work
ambao,who
nao,with them.
pamoja,together
sasa,now
muda,Time
mkuu,Head
hicho,that.
nchi,country.
zaidi,More.
kiongozi,Leader.
weza,be able to 
sehemu,part
mkoa,Province
chukua,Take it
kijana,boy.
chakula,food
tukio,event.
njia,way
kutoka,from
msaada,Help
kitu,something.
ishi,Ishi.
upande,side.
amini,Believe
shule,School.
dunia,World.
uliza,Ask
kiasi,quantity.
pinga,oppose
mwili,body.
afisa,Officer
refu,long
mgonjwa,patient
rudi,return
baadaye,later.
barabara,roads.
kaa,stay
ya kwanza,the first one.
barua,letter
jaribu,try
familia,Family.
kuna,there
ndege,Birds
kitabu,Book
ikiwa,If
kisha,Then
kwanza,first
kweli,Really.
onesha,Show
mtumishi,servant
kodi,tax
umeme,electricity
elewa,understand
Yesu,Jesus.
shauri,counsel.
ripoti,Report
vita,war.
kumbuka,Remember
rejea,return
hatari,danger
iwapo,If
nia,intention.
siasa,Politics.
tuma,Send
kwa nini,why
ya pili,second
jeruhi,injure
ndoa,married.
ingine,Other.
tazama,see.
jumla,total
baba,father.
hoja,argument
kabla,before
subiri,Wait.
shugulika,be busy with
kubali,agree.
ndani,inside.
ambavyo,which.
Mzee,Elder.
lala,Sleep
lazimu,force
deni,debt
ushindi,Victory.
uwezekano,possibility.
kata,cut
sifa,praise
ndugu,brother.
dakika,minutes
futa,wipe off
wapi,where
haja,need
mbinu ,method
baki ,remain
ama ,or
jiji ,city
lima,cultivate
mbali,far
ndipo,then/there
pambano ,contest
andamano,demonstration
jinsi ,how
unga,join
pesa,money
mkakati ,plan
bao,goal
Afrika Kusini,South Africa
shika,take hold
ndani,inside.
miliki ,possess
giza,darkness
hoteli,hotel
lia,cry
ujana,youth
kubali,agree.
tembea ,walk
tenga,seperate
adabu,good manners
mfuko,bag
kojoa,urinate
nyooa,shave
konda ,lose weight
mwema ,good
dirisha,window
piga kelele,make noise
hurumia ,sympathise with
zito,heavy
tangazo ,announcement
huenda ,perhaps
tawi ,branch
daraja,bridge
mfalme,king
tibu,cure
haraka ,haste
ita,call
siyo,is not
bado,not yet
iko ,be
picha,picture
elimika ,teach
duka,shop
sahau,forget
tunga,compose
jaa,be full of
zua ,emerge
kana,deny
kati,middle
lipa,pay
shule ,School.
pata ,obtain
mwana ,child
ongeza,increase
samaki,fish
mbegu,seed
mchana,at noon
potea,lost
leo hii,today
bahari,ocean
neno ,word
epuka ,avoid
uso,face
furiko,flood
cheo,position
ziwa ,lake
homa,fever
nusu,half
funika ,cover
sukuma,push
gusa ,touch
anga,sky
bahati ,luck
ingia ,enter
teso ,suffering
toroka ,escape
